VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2021-08-01,5876.05,13.2,2021,8,3,2021-08,0.8699876574363552,9.679773624068133,-0.5,-1.6000000000000014,Alta,Alta
2021-09-01,5944.21,12.7,2021,9,3,2021-09,1.159962900247602,10.246394955255722,-0.5,-2.200000000000001,Muito Alta,Alta
2021-10-01,6018.51,12.1,2021,10,4,2021-10,1.249955839379835,10.672622156186339,-0.5999999999999996,-2.5,Muito Alta,Alta
2021-11-01,6075.69,11.6,2021,11,4,2021-11,0.9500690370207732,10.73850090767916,-0.5,-2.700000000000001,Muito Alta,Moderada
2021-12-01,6120.04,11.1,2021,12,4,2021-12,0.7299582434258545,10.060982737443336,-0.5,-3.0999999999999996,Muito Alta,Moderada
2022-01-01,6153.09,11.2,2022,1,1,2022-01,0.5400291501362675,10.379424844245854,0.09999999999999964,-3.200000000000001,Muito Alta,Moderada
2022-02-01,6215.24,11.2,2022,2,1,2022-02,1.0100616113204897,10.543661726335408,0.0,-3.4000000000000004,Muito Alta,Moderada
2022-03-01,6315.93,11.1,2022,3,1,2022-03,1.6200500704719456,11.299412129585251,-0.09999999999999964,-3.8000000000000007,Muito Alta,Moderada
2022-04-01,6382.88,10.5,2022,4,2,2022-04,1.0600180812643467,12.131630216906665,-0.5999999999999996,-4.300000000000001,Muito Alta,Moderada
2022-05-01,6412.88,9.8,2022,5,2,2022-05,0.4700072694457713,11.731212845583983,-0.6999999999999993,-4.899999999999999,Muito Alta,Moderada
2022-06-01,6455.85,9.3,2022,6,2,2022-06,0.6700577587605006,11.886869625198027,-0.5,-4.899999999999999,Muito Alta,Moderada
2022-07-01,6411.95,9.1,2022,7,3,2022-07,-0.6800034077619643,10.06940331687085,-0.20000000000000107,-4.6,Muito Alta,Moderada
2022-08-01,6388.87,8.9,2022,8,3,2022-08,-0.3599529004437052,8.727291292620043,-0.1999999999999993,-4.299999999999999,Alta,Moderada
2022-09-01,6370.34,8.7,2022,9,3,2022-09,-0.2900356401053683,7.168824789164585,-0.20000000000000107,-4.0,Alta,Moderada
